OverallQual,GrLivArea,Neighborhood,YearBuilt,GarageCars,SalePrice
6,918,SawyerW,1979,1,99500
7,1428,Somerst,2007,2,182000
7,2019,BrkSide,1910,2,167500
7,1382,Somerst,2000,2,165000
4,869,BrkSide,1923,0,85500
7,1241,Somerst,2006,2,199900
4,894,Edwards,1954,2,110000
5,1121,Sawyer,1963,2,139000
7,999,NAmes,1961,2,178400
8,2612,NoRidge,1998,3,336000
7,1266,Blmngtn,2007,2,159895
8,2290,CollgCr,2002,2,255900
5,1734,Mitchel,1977,2,126000
5,1164,Edwards,1950,1,125000
6,1635,OldTown,1910,1,117000
9,1940,NridgHt,2009,3,395192
6,2030,NWAmes,1976,2,195000
7,1576,Somerst,2006,2,197000
8,2392,NoRidge,1997,3,348000
8,1742,OldTown,1882,2,168000
6,1851,NAmes,1964,2,187000
6,1500,CollgCr,2005,2,173900
10,1718,NridgHt,2006,3,337500
4,1230,BrkSide,1946,1,121600
5,1050,NAmes,1961,1,136500
6,1442,NWAmes,1970,2,185000
3,1077,IDOTRR,1922,1,91000
7,1208,CollgCr,2006,2,206000
3,944,Edwards,1952,2,82000
5,691,OldTown,1920,1,86000
8,1574,Somerst,2006,3,232000
5,1680,NWAmes,1976,2,136905
7,1504,Blmngtn,2005,2,181000
5,985,CollgCr,1977,1,149900
6,1657,NAmes,1970,2,163500
4,1092,MeadowV,1970,1,88000
7,1710,Mitchel,2004,2,240000
5,1522,SWISU,1926,0,102000
5,1271,Sawyer,1948,1,135000
5,1664,Edwards,1965,0,100000
6,1502,Crawfor,1923,1,165000
5,1022,OldTown,1910,1,85000
6,1082,NAmes,1948,1,119200
8,1665,NWAmes,2001,2,227000
7,1504,CollgCr,1996,2,203000
8,1360,StoneBr,1984,2,187500
7,1472,Gilbert,1991,2,160000
7,1506,Blmngtn,2005,2,213490
4,1132,Edwards,2005,2,176000
7,1220,CollgCr,2006,2,194000
5,1248,OldTown,1930,1,87000
7,1504,Blmngtn,2005,2,191000
8,2898,Timber,1976,2,287000
5,882,CollgCr,1972,2,112500
5,1264,NAmes,1960,2,167500
8,1646,Timber,2007,3,293077
5,1376,NAmes,1941,1,105000
6,1218,BrDale,1972,1,118000
5,1928,SWISU,1916,0,160000
7,3082,SWISU,1920,2,197000
8,2520,NoRidge,1993,3,310000
7,1654,CollgCr,2002,3,230000
5,954,Crawfor,1938,1,119750
4,845,Edwards,1957,1,84000
9,1620,Timber,2007,3,315500
8,2263,CollgCr,2001,2,287000
4,1344,MeadowV,1970,0,97000
4,630,MeadowV,1970,1,80000
5,1803,Sawyer,1957,2,155000
6,1632,NWAmes,1966,2,173000
6,1306,NridgHt,2005,2,196000
7,2329,SawyerW,1990,2,262280
8,2524,NWAmes,1981,2,278000
3,1733,Edwards,1955,2,139600
9,2868,StoneBr,2005,3,556581
5,990,CollgCr,1994,2,145000
5,1771,Mitchel,1960,2,115000
4,930,Edwards,1946,1,84900
7,1302,Gilbert,2007,2,176485
7,1316,CollgCr,2007,2,200141
6,1977,NAmes,1964,2,165000
5,1526,Edwards,1957,1,144500
8,1989,CollgCr,2002,2,255000
6,1523,NWAmes,1976,2,180000
7,1364,NridgHt,2005,2,185850
7,1850,NoRidge,1994,2,248000
9,2184,NridgHt,2008,3,335000
6,1991,Crawfor,1932,2,220000
8,1338,StoneBr,2001,2,213500
3,894,IDOTRR,1935,3,81000
5,2337,OldTown,1900,2,90000
6,1103,OldTown,1925,2,110500
5,1154,NAmes,1966,2,154000
7,2260,ClearCr,1996,2,328000
6,1571,Gilbert,1993,2,178000
6,1611,NAmes,1964,2,167900
6,2521,MeadowV,1973,2,151400
5,893,NAmes,1949,2,135000
5,1048,NAmes,1956,1,135000
6,1556,NWAmes,1968,2,154000
5,1456,Edwards,1948,1,91500
6,1426,Edwards,1977,2,159500
7,1240,CollgCr,2006,3,194000
7,1740,Crawfor,1940,1,219500
5,1466,OldTown,1936,2,170000
5,1096,NAmes,1969,1,138800
6,848,CollgCr,2004,2,155900
5,990,CollgCr,1994,1,126000
6,1258,NWAmes,1971,2,145000
5,1040,Sawyer,1963,1,133000
7,1459,CollgCr,2002,2,192000
6,1251,NAmes,1964,1,160000
6,1498,Gilbert,1995,2,187500
6,996,SawyerW,1992,2,147000
4,1092,MeadowV,1973,1,83500
8,1953,Somerst,2005,3,252000
7,1709,Edwards,2004,2,137500
8,1247,Somerst,2005,2,197000
3,1040,NAmes,1950,2,92900
7,1252,Somerst,1999,2,160000
6,1694,SWISU,1925,2,136500
5,1200,NAmes,1965,2,146000
5,936,NAmes,1956,1,129000
6,1314,CollgCr,2006,2,176432
6,1355,IDOTRR,1914,0,127000
8,1088,StoneBr,1986,2,170000
4,1324,BrkSide,1936,1,128000
7,1601,NWAmes,1978,2,157000
2,438,SWISU,1920,1,60000
5,950,NAmes,1971,1,119500
5,1134,NAmes,1960,1,135000
6,1194,NAmes,1959,2,159500
5,1302,BrDale,1970,2,106000
8,2622,NoRidge,1994,2,325000
7,1442,SawyerW,1990,2,179900
7,2021,Gilbert,2006,2,274725
6,1690,Gilbert,2000,2,181000
8,1836,NridgHt,2004,3,280000
6,1658,Gilbert,1995,2,188000
7,1964,NWAmes,1976,2,205000
5,816,NAmes,1957,1,129900
5,1008,NAmes,1953,1,134500
5,833,OldTown,1954,1,117000
8,1734,NridgHt,2007,3,318000
8,1419,Gilbert,2002,2,184100
5,894,Sawyer,1967,2,130000
5,1601,Sawyer,1958,1,140000
5,1040,NAmes,1959,1,133700
6,1012,IDOTRR,1920,1,118400
7,1552,CollgCr,2005,3,212900
4,960,Edwards,1956,1,112000
5,698,Edwards,1947,0,118000
7,1482,Gilbert,1992,2,163900
4,1005,NAmes,1955,2,115000
7,1555,Blmngtn,2007,3,174000
7,1530,Gilbert,2004,3,259000
7,1959,Gilbert,2004,2,215000
5,936,OldTown,1980,2,140000
4,1981,SWISU,1928,2,135000
5,974,Mitchel,1991,0,93500
6,2210,OldTown,1880,1,117500
8,2020,SawyerW,1995,2,239500
6,1600,Gilbert,1997,2,169000
6,986,BrkSide,1926,1,102000
6,1252,NAmes,1950,1,119000
5,1020,Sawyer,1875,0,94000
6,1567,Mitchel,1977,2,196000
5,1167,BrkSide,1920,2,144000
5,952,NAmes,1951,2,139000
5,1868,NWAmes,1976,2,197500
8,2828,CollgCr,2006,3,424870
5,1006,Sawyer,1959,0,80000
4,924,Edwards,1941,1,80000
5,1576,BrkSide,1928,1,149000
6,1298,SawyerW,1985,2,180000
7,1564,Crawfor,1941,1,174500
7,1111,OldTown,1926,1,116900
7,1482,OldTown,1920,2,143000
6,932,NAmes,1950,1,124000
5,1466,Edwards,1959,2,149900
6,1811,Crawfor,1956,2,230000
6,816,IDOTRR,1930,1,120500
7,1820,NAmes,1965,2,201800
5,1437,Veenker,1976,2,218000
5,1265,NAmes,1965,2,179900
7,1314,NridgHt,2007,2,230000
8,1580,Somerst,2007,3,235128
6,1876,NWAmes,1974,2,185000
6,1456,NPkVill,1978,2,146000
6,1640,Crawfor,1954,2,224000
5,894,Sawyer,1968,2,129000
4,1258,Sawyer,1969,2,108959
5,1432,Veenker,1978,2,194000
7,1502,NridgHt,2009,2,233170
8,1694,CollgCr,2008,3,245350
6,1671,Gilbert,2000,2,173000
6,2108,Edwards,1935,2,235000
10,3627,NoRidge,1995,3,625000
6,1118,Mitchel,1977,1,171000
6,1261,NAmes,1958,2,163000
7,1250,Somerst,2006,2,171900
5,3086,ClearCr,1946,0,200500
6,2345,Crawfor,1932,2,239000
8,2872,NoRidge,1992,2,285000
5,923,Mitchel,1984,1,119500
6,1224,OldTown,1926,1,115000
5,1343,Crawfor,1921,1,154900
5,1124,Edwards,1954,0,93000
7,2514,Timber,1990,2,250000
8,1652,Crawfor,2008,2,392500
10,4476,NoRidge,1996,3,745000
5,1130,OldTown,1920,2,120000
5,1572,Timber,1963,3,186700
5,1221,Edwards,1924,1,104900
3,1699,OldTown,1900,2,95000
8,1624,NoRidge,1994,3,262000
7,1660,CollgCr,2002,2,195000
7,1804,Gilbert,1999,2,189000
4,1622,Mitchel,1961,4,168000
8,1441,Somerst,1999,2,174000
5,1472,OldTown,1925,1,125000
6,1224,Mitchel,1999,2,165000
6,1352,Sawyer,1969,1,158000
6,1456,Gilbert,2005,2,176000
7,1863,Gilbert,2006,3,219210
7,1690,OldTown,1916,1,144000
7,1212,CollgCr,2001,2,178000
4,1382,Sawyer,1963,2,148000
4,864,NAmes,1970,1,116050
7,1779,CollgCr,1998,2,197900
5,1348,BrkSide,1925,1,117000
7,1630,CollgCr,2000,2,213000
5,1074,NWAmes,1975,2,153500
7,2196,SawyerW,1990,3,271900
4,1056,SawyerW,1966,1,107000
6,1700,CollgCr,2003,2,200000
5,1283,NAmes,1962,2,140000
8,1660,Somerst,2006,2,290000
6,1845,SawyerW,1992,2,189000
8,1752,Gilbert,1988,2,164000
4,672,Edwards,1941,1,113000
4,960,Sawyer,1965,1,145000
5,999,NAmes,1962,1,134500
5,894,Sawyer,1966,1,125000
6,1902,Sawyer,1978,2,112000
8,1314,Somerst,2009,2,229456
4,912,BrkSide,1947,0,80500
6,1218,BrDale,1971,0,91500
5,912,NAmes,1964,1,115000
5,1211,Sawyer,1968,1,134000
6,1846,NAmes,1949,1,143000
5,2136,NAmes,1951,2,137900
7,1490,Gilbert,2004,2,184000
6,1138,NAmes,1958,1,145000
6,1933,Somerst,2007,3,214000
5,912,NAmes,1965,2,147000
9,1702,NridgHt,2008,3,367294
5,1507,NAmes,1960,1,127000
5,2620,Sawyer,1977,2,190000
5,1190,NAmes,1962,2,132500
4,1224,NAmes,1962,2,101800
5,1188,NAmes,1959,2,142000
5,1964,SWISU,1911,0,130000
5,1784,Crawfor,1914,1,138887
7,1626,NridgHt,2003,2,175500
7,1948,CollgCr,2004,2,195000
6,1141,SawyerW,2005,2,142500
8,1484,Timber,2006,2,265900
7,1768,CollgCr,2003,2,224900
7,1689,Somerst,2007,3,248328
7,1173,NWAmes,1974,2,170000
10,2076,NridgHt,2006,3,465000
8,1517,Crawfor,1929,2,230000
6,1868,NWAmes,1984,2,178000
7,1553,Somerst,2005,2,186500
6,1034,Mitchel,1976,3,169900
6,2058,OldTown,1917,2,129500
5,988,NAmes,1950,1,119000
7,2110,NAmes,1968,2,244000
7,1405,NridgHt,2003,2,171750
5,874,Mitchel,1968,1,130000
7,2167,Veenker,1974,2,294000
7,1656,Edwards,2003,2,165400
6,1367,BrkSide,1931,1,127500
8,1987,NoRidge,1994,2,301500
5,864,Edwards,1922,0,99900
7,1166,Gilbert,2005,2,190000
6,1054,NAmes,1969,2,151000
6,1675,Gilbert,1999,2,181000
5,1050,NAmes,1956,1,128900
4,1788,ClearCr,1957,1,161500
6,1824,BrkSide,1919,2,180500
6,1337,NAmes,1998,2,181000
7,1452,Somerst,1999,2,183900
7,1889,OldTown,1910,1,122000
9,2018,Timber,2008,3,378500
8,3447,Crawfor,1935,3,381000
5,1524,NAmes,1958,1,144000
7,1524,ClearCr,1979,2,260000
6,1489,NWAmes,1968,2,185750
5,935,Sawyer,1965,1,137000
6,1357,Edwards,1959,1,177000
5,1250,Crawfor,1910,2,139000
5,1920,NAmes,1948,2,137000
6,1395,NWAmes,1972,2,162000
6,1724,NWAmes,1967,2,197900
8,2031,CollgCr,2002,2,237000
4,1128,IDOTRR,1920,2,68400
7,1573,CollgCr,2002,2,227000
7,1339,Timber,1990,2,180000
5,1040,CollgCr,1977,2,150500
6,1824,Mitchel,1971,0,139000
6,2447,SWISU,1919,1,169000
6,1412,BrkSide,1939,1,132500
6,1328,NWAmes,1963,2,143000
5,1582,ClearCr,1964,2,190000
8,1659,StoneBr,2000,2,278000
8,1970,NridgHt,2006,3,281000
5,1152,NAmes,1964,2,180500
5,1302,BrDale,1972,1,119500
5,2372,OldTown,1892,1,107500
7,1664,NWAmes,1976,2,162900
5,864,Edwards,1955,2,115000
5,1052,NAmes,1968,1,138500
5,1128,NAmes,1963,2,155000
6,1072,Edwards,2005,2,140000
10,5642,Edwards,2008,2,160000
5,1246,NAmes,1959,1,154000
7,1983,Gilbert,1999,2,225000
6,1494,Crawfor,1942,1,177500
8,2526,NoRidge,1994,3,290000
7,1616,Somerst,2005,3,232000
7,1708,Edwards,2004,2,130000
9,1652,NridgHt,2006,2,325000
7,1368,NridgHt,2005,2,202500
5,990,CollgCr,1994,2,138000
5,1122,OldTown,1948,2,147000
6,1294,SawyerW,1991,2,179200
7,1902,Crawfor,1959,2,335000
7,1274,CollgCr,2005,2,203000
8,2810,NoRidge,1990,2,302000
9,2599,NoRidge,1999,3,333168
4,948,Edwards,1954,1,119000
6,2112,NAmes,1969,2,206900
8,1630,CollgCr,2008,3,295493
7,1352,Somerst,2006,2,208900
8,1787,CollgCr,2001,3,275000
4,948,Edwards,1954,1,111000
6,1478,NAmes,1957,2,156500
3,720,BrkSide,1949,1,72500
7,1923,NoRidge,1992,2,190000
4,708,BrkSide,1940,0,82500
8,1795,Somerst,2006,3,147000
4,796,IDOTRR,1922,0,55000
3,774,Edwards,1931,0,79000
5,816,Mitchel,1982,1,130500
6,2792,OldTown,1920,2,256000
7,1632,Gilbert,1998,2,176500
8,1588,Somerst,2006,3,227000
5,954,CollgCr,1976,2,132500
4,816,Edwards,1938,1,100000
5,1360,IDOTRR,1938,1,125500
5,1365,BrDale,1970,2,125000
6,1334,NWAmes,1977,2,167900
5,1656,NWAmes,1973,2,135000
4,693,OldTown,1941,0,52500
7,1861,CollgCr,2002,2,200000
5,864,CollgCr,1972,1,128500
4,872,NAmes,1971,4,123000
6,1114,SawyerW,2003,2,155000
8,2169,CollgCr,2002,2,228500
6,1913,Crawfor,1928,2,177000
7,1456,CollgCr,2006,2,155835
4,960,OldTown,1920,1,108500
7,2156,NWAmes,1968,2,262500
8,1776,Timber,2006,3,283463
7,1494,SawyerW,1998,2,215000
8,2358,OldTown,1872,0,122000
5,2634,NAmes,1969,4,200000
6,1716,NAmes,1962,2,171000
6,1176,BrkSide,1937,2,134900
8,3238,NoRidge,1995,3,410000
7,1865,CollgCr,2000,3,235000
7,1920,NWAmes,1968,2,170000
5,892,NAmes,1966,1,110000
5,1078,NAmes,1971,2,149900
6,1573,Somerst,2000,2,177500
9,1980,NridgHt,2004,3,315000
5,2601,SWISU,1921,2,189000
7,1530,StoneBr,2005,2,260000
4,1738,NAmes,1920,1,104900
6,1412,Gilbert,2006,2,156932
7,1200,Somerst,2005,2,144152
7,1674,Somerst,2000,2,216000
7,1790,CollgCr,1999,2,193000
5,1475,MeadowV,1977,1,127000
6,848,CollgCr,2003,2,144000
8,1668,CollgCr,2003,2,232000
4,1374,OldTown,1920,1,105000
6,1661,NAmes,1955,1,165500
7,2097,CollgCr,1998,2,274300
10,2633,NoRidge,2001,3,466500
7,1958,Somerst,2005,3,250000
8,1571,Timber,2007,3,239000
6,790,SWISU,1930,1,91000
5,1604,Edwards,1941,2,117000
6,987,BrDale,1973,1,83000
5,1394,Timber,2006,2,167500
3,864,Edwards,1914,1,58500
6,2117,NAmes,1970,2,237500
7,1762,OldTown,1920,2,157000
5,1416,Sawyer,1918,2,112000
6,1258,Edwards,1939,1,105000
4,1154,IDOTRR,1922,1,125500
7,2784,NWAmes,1978,2,250000
6,2526,OldTown,1916,1,136000
9,1746,Gilbert,2006,3,377500
6,1218,BrkSide,1941,2,131000
7,1525,CollgCr,2000,2,235000
5,1584,NAmes,1967,3,124000
5,900,NAmes,1967,1,123000
6,1912,OldTown,1905,2,163000
7,1500,Blmngtn,2006,3,246578
8,2482,Timber,2005,3,281213
5,1687,Timber,1948,2,160000
5,1513,BrkSide,1920,1,137500
5,1904,NAmes,1950,1,138000
6,1608,SWISU,1925,1,137450
6,1158,BrkSide,1929,1,120000
6,1593,Gilbert,2004,2,193000
7,1294,CollgCr,2006,2,193879
8,1464,Somerst,2007,3,282922
3,1214,OldTown,1915,3,105000
8,1646,Crawfor,2004,2,275000
5,768,CollgCr,1972,2,133000
5,833,Mitchel,1985,0,112000
4,1363,OldTown,1910,2,125500
7,2093,NWAmes,1986,2,215000
7,1840,CollgCr,2001,2,230000
6,1668,NAmes,1950,1,140000
4,1040,NAmes,1949,2,90000
8,1844,SawyerW,2005,2,257000
6,1848,BrkSide,1923,2,207000
7,1569,Blmngtn,2007,3,175900
4,2290,OldTown,1885,2,122500
8,2450,NoRidge,1998,3,340000
5,1144,NAmes,1963,1,124000
6,1844,Crawfor,1969,2,223000
6,1416,NWAmes,1968,2,179900
6,1069,NPkVill,1977,2,127500
6,848,CollgCr,2003,2,136500
6,2201,Edwards,1966,2,274970
5,1344,NAmes,1958,1,144000
6,1252,NAmes,1959,2,142000
7,2127,NoRidge,1994,2,271000
5,1558,NAmes,1945,1,140000
5,804,OldTown,1940,1,119000
6,1440,NWAmes,1981,2,182900
5,1838,Gilbert,2005,2,192140
6,958,NPkVill,1976,2,143750
4,968,OldTown,1927,1,64500
6,1792,Gilbert,2000,2,186500
5,1126,Mitchel,1977,2,160000
6,1537,NAmes,1962,2,174000
4,864,NAmes,1971,2,120500
8,1932,NridgHt,2008,3,394617
6,1236,OldTown,1957,2,149700
7,1725,NWAmes,1979,2,197000
6,2555,Crawfor,1922,2,191000
6,848,CollgCr,2004,2,149300
10,2007,Somerst,2008,3,310000
6,952,BrkSide,1916,1,121000
7,1422,CollgCr,2004,2,179600
6,913,Sawyer,1966,1,129000
5,1188,Mitchel,1962,1,157900
8,2090,CollgCr,1995,2,240000
4,1346,Edwards,1910,1,112000
5,630,MeadowV,1970,0,92000
5,1792,NAmes,1974,0,136000
8,1578,Somerst,2008,3,287090
5,1072,Edwards,2005,2,145000
5,1140,Mitchel,2006,0,84500
7,1221,Somerst,2004,2,185000
6,1647,Gilbert,1999,2,175000
6,2073,NWAmes,1978,2,210000
7,2340,Crawfor,1941,1,266500
5,1078,NAmes,1950,1,142125
5,1256,Edwards,1965,1,147500
